logging: reflekt: REFLEKT CONFIGURATION:
ENABLED: false
REFLEKT META FILES FROM LIBRARIES: []
OUTPUT DIRECTORY: src/main/kotlin-gen
TO SAVE METADATA: false
REFLEKT METADATA RELATIVE PATH: null
DEPENDENCY JARS: []
_____________________________________________

logging: reflekt: PROJECT FILE PATH: null
logging: reflekt: ReflektAnalysisExtension is starting...
logging: reflekt: reflektMetaFiles []
logging: reflekt: Library invokes: ReflektInvokes(objects={}, classes={}, functions={})
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression println("public second example foo") is valid: false
logging: reflekt: Expression println("public second example foo") is valid: false
logging: reflekt: Expression println("public second example foo") is valid: false
logging: reflekt: Expression println is valid: false
logging: reflekt: Expression println is valid: false
logging: reflekt: Expression println is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf(3) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf(a.toString(), b.toString(), c.toString()) is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression listOf is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression a is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression b is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression c is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Finish analyzing file Functions.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Start analyzing file Objects.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression OInterface is valid: false
logging: reflekt: Expression OInterface is valid: false
logging: reflekt: Expression OInterface is valid: false
logging: reflekt: Expression OInterface is valid: false
logging: reflekt: Expression OInterface is valid: false
logging: reflekt: Expression OInterface is valid: false
logging: reflekt: Finish analyzing file Objects.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Start analyzing file Main.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression Reflekt is valid: false
logging: reflekt: Expression Reflekt is valid: false
logging: reflekt: Expression Reflekt is valid: false
logging: reflekt: Expression Reflekt is valid: false
logging: reflekt: Expression Reflekt is valid: false
logging: reflekt: Expression Reflekt is valid: false
logging: reflekt: Expression functions() is valid: false
logging: reflekt: Expression functions() is valid: false
logging: reflekt: Expression functions() is valid: false
logging: reflekt: Expression functions is valid: false
logging: reflekt: Expression functions is valid: false
logging: reflekt: Expression functions is valid: true
logging: reflekt: Expression withAnnotations<(a: Int, b: Float?, c: Set<Boolean>) -> List<String>>(IrTestAnnotation::class) is valid: false
logging: reflekt: Expression withAnnotations<(a: Int, b: Float?, c: Set<Boolean>) -> List<String>>(IrTestAnnotation::class) is valid: false
logging: reflekt: Expression withAnnotations<(a: Int, b: Float?, c: Set<Boolean>) -> List<String>>(IrTestAnnotation::class) is valid: false
logging: reflekt: Expression withAnnotations is valid: false
logging: reflekt: Expression withAnnotations is valid: false
logging: reflekt: Expression withAnnotations is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Int is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Float is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Set is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression Boolean is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression List is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression String is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression IrTestAnnotation is valid: false
logging: reflekt: Expression toList() is valid: false
logging: reflekt: Expression toList() is valid: false
logging: reflekt: Expression toList() is valid: false
logging: reflekt: Expression toList is valid: false
logging: reflekt: Expression toList is valid: false
logging: reflekt: Expression toList is valid: false
logging: reflekt: Expression also { f -> f.forEach { it(1, null, emptySet()) } } is valid: false
logging: reflekt: Expression also { f -> f.forEach { it(1, null, emptySet()) } } is valid: false
logging: reflekt: Expression also { f -> f.forEach { it(1, null, emptySet()) } } is valid: false
logging: reflekt: Expression also is valid: false
logging: reflekt: Expression also is valid: false
logging: reflekt: Expression also is valid: false
logging: reflekt: Expression f is valid: false
logging: reflekt: Expression f is valid: false
logging: reflekt: Expression f is valid: false
logging: reflekt: Expression forEach { it(1, null, emptySet()) } is valid: false
logging: reflekt: Expression forEach { it(1, null, emptySet()) } is valid: false
logging: reflekt: Expression forEach { it(1, null, emptySet()) } is valid: false
logging: reflekt: Expression forEach is valid: false
logging: reflekt: Expression forEach is valid: false
logging: reflekt: Expression forEach is valid: false
logging: reflekt: Expression it(1, null, emptySet()) is valid: false
logging: reflekt: Expression it(1, null, emptySet()) is valid: false
logging: reflekt: Expression it(1, null, emptySet()) is valid: false
logging: reflekt: Expression it is valid: false
logging: reflekt: Expression it is valid: false
logging: reflekt: Expression it is valid: false
logging: reflekt: Expression emptySet() is valid: false
logging: reflekt: Expression emptySet() is valid: false
logging: reflekt: Expression emptySet() is valid: false
logging: reflekt: Expression emptySet is valid: false
logging: reflekt: Expression emptySet is valid: false
logging: reflekt: Expression emptySet is valid: false
logging: reflekt: Expression map { it.toString() } is valid: false
logging: reflekt: Expression map { it.toString() } is valid: false
logging: reflekt: Expression map { it.toString() } is valid: false
logging: reflekt: Expression map is valid: false
logging: reflekt: Expression map is valid: false
logging: reflekt: Expression map is valid: false
logging: reflekt: Expression it is valid: false
logging: reflekt: Expression it is valid: false
logging: reflekt: Expression it is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString() is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toString is valid: false
logging: reflekt: Expression toSet() is valid: false
logging: reflekt: Expression toSet() is valid: false
logging: reflekt: Expression toSet() is valid: false
logging: reflekt: Expression toSet is valid: false
logging: reflekt: Expression toSet is valid: false
logging: reflekt: Expression toSet is valid: false
logging: reflekt: Finish analyzing file Main.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Getting invokes from sources has done!
logging: reflekt: Project's invokes: ReflektInvokes(objects={}, classes={}, functions={org.jetbrains.reflekt.test.ir.Main.kt=[SignatureToAnnotations(signature=Function3<[@kotlin.ParameterName] Int, [@kotlin.ParameterName] Float?, [@kotlin.ParameterName] Set<Boolean>, List<String>>, annotations=[org.jetbrains.reflekt.test.ir.IrTestAnnotation])]})
logging: reflekt: Merged invokes: ReflektInvokes(objects={}, classes={}, functions={org.jetbrains.reflekt.test.ir.Main.kt=[SignatureToAnnotations(signature=Function3<[@kotlin.ParameterName] Int, [@kotlin.ParameterName] Float?, [@kotlin.ParameterName] Set<Boolean>, List<String>>, annotations=[org.jetbrains.reflekt.test.ir.IrTestAnnotation])]})
logging: reflekt: Getting uses from sources....
logging: reflekt: Start analyzing file Annotations.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: ClassUsesProcessor. Element: org, should run on false
logging: reflekt: ObjectUsesProcessor. Element: org, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text org, should run on false
logging: reflekt: ClassUsesProcessor. Element: jetbrains, should run on false
logging: reflekt: ObjectUsesProcessor. Element: jetbrains, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text jetbrains, should run on false
logging: reflekt: ClassUsesProcessor. Element: reflekt, should run on false
logging: reflekt: ObjectUsesProcessor. Element: reflekt, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text reflekt, should run on false
logging: reflekt: ClassUsesProcessor. Element: test, should run on false
logging: reflekt: ObjectUsesProcessor. Element: test, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text test, should run on false
logging: reflekt: ClassUsesProcessor. Element: ir, should run on false
logging: reflekt: ObjectUsesProcessor. Element: ir, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text ir, should run on false
logging: reflekt: ClassUsesProcessor. Element: annotation class IrTestAnnotation, should run on true
logging: reflekt: ObjectUsesProcessor. Element: annotation class IrTestAnnotation, should run on false
logging: reflekt: FunctionUsesProcessor. Element: CLASS with text annotation class IrTestAnnotation, should run on false
logging: reflekt: Finish analyzing file Annotations.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Start analyzing file Classes.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: ClassUsesProcessor. Element: org, should run on false
logging: reflekt: ObjectUsesProcessor. Element: org, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text org, should run on false
logging: reflekt: ClassUsesProcessor. Element: jetbrains, should run on false
logging: reflekt: ObjectUsesProcessor. Element: jetbrains, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text jetbrains, should run on false
logging: reflekt: ClassUsesProcessor. Element: reflekt, should run on false
logging: reflekt: ObjectUsesProcessor. Element: reflekt, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text reflekt, should run on false
logging: reflekt: ClassUsesProcessor. Element: test, should run on false
logging: reflekt: ObjectUsesProcessor. Element: test, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text test, should run on false
logging: reflekt: ClassUsesProcessor. Element: ir, should run on false
logging: reflekt: ObjectUsesProcessor. Element: ir, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text ir, should run on false
logging: reflekt: ClassUsesProcessor. Element: interface CInterface, should run on false
logging: reflekt: ObjectUsesProcessor. Element: interface CInterface, should run on false
logging: reflekt: FunctionUsesProcessor. Element: CLASS with text interface CInterface, should run on false
logging: reflekt: ClassUsesProcessor. Element: open class C1 : CInterface, should run on true
logging: reflekt: ObjectUsesProcessor. Element: open class C1 : CInterface, should run on false
logging: reflekt: FunctionUsesProcessor. Element: CLASS with text open class C1 : CInterface, should run on false
logging: reflekt: ClassUsesProcessor. Element: CInterface, should run on false
logging: reflekt: ObjectUsesProcessor. Element: CInterface, should run on false
logging: reflekt: FunctionUsesProcessor. Element: REFERENCE_EXPRESSION with text CInterface, should run on false
